frame,vis_score,vis_label,n_obj,n_danger,n_caution,n_safe,nearest_m,min_ttc,obj_classes
313,0.884,Good,9,1,3,5,7.86,0.52,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;pedestrian
316,0.890,Good,3,1,1,1,8.28,2.54,vehicle;vehicle;pedestrian
319,0.890,Good,4,1,2,1,7.73,2.54,vehicle;vehicle;vehicle;vehicle
322,0.886,Good,3,1,2,0,7.42,0.50,vehicle;vehicle;vehicle
325,0.882,Good,1,1,0,0,7.18,0.50,vehicle
328,0.881,Good,4,1,2,1,10.82,0.52,vehicle;vehicle;vehicle;vehicle
331,0.879,Good,3,0,1,2,18.76,,vehicle;vehicle;vehicle
334,0.867,Good,3,0,2,1,20.43,,vehicle;vehicle;vehicle
337,0.856,Good,4,0,3,1,16.13,,vehicle;vehicle;pedestrian;vehicle
340,0.852,Good,4,0,3,1,17.03,0.50,vehicle;vehicle;vehicle;vehicle
343,0.845,Good,7,1,3,3,13.93,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
346,0.842,Good,6,1,3,2,10.95,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
349,0.841,Good,6,1,4,1,13.14,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
352,0.842,Good,5,0,4,1,17.35,,vehicle;vehicle;vehicle;vehicle;vehicle
355,0.836,Good,4,0,4,0,13.71,,pedestrian;pedestrian;vehicle;vehicle
358,0.827,Good,5,0,3,2,12.43,4.21,vehicle;vehicle;vehicle;vehicle;vehicle
361,0.824,Good,6,0,4,2,12.71,,vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle
364,0.822,Good,4,0,3,1,14.83,,vehicle;vehicle;vehicle;vehicle
367,0.820,Good,3,0,3,0,16.13,,vehicle;vehicle;vehicle
370,0.820,Good,4,1,3,0,15.85,,vehicle;vehicle;vehicle;vehicle
373,0.820,Good,9,1,4,4,6.25,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
376,0.820,Good,10,3,5,2,6.25,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle
379,0.816,Good,10,2,5,3,6.21,0.50,vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian
382,0.811,Good,10,2,4,4,6.09,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle
385,0.805,Good,10,0,2,8,27.86,14.12,vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle;pedestrian;vehicle
388,0.798,Good,7,2,1,4,11.94,23.00,vehicle;vehicle;pedestrian;vehicle;vehicle;pedestrian;vehicle
391,0.796,Good,4,0,0,4,41.79,,vehicle;vehicle;vehicle;vehicle
394,0.792,Good,5,2,2,1,5.93,0.50,vehicle;vehicle;vehicle;vehicle;vehicle
397,0.782,Good,5,1,1,3,6.64,0.50,vehicle;pedestrian;vehicle;vehicle;vehicle
400,0.772,Good,5,1,1,3,7.54,0.50,vehicle;vehicle;vehicle;vehicle;vehicle
403,0.763,Good,5,0,3,2,15.85,,vehicle;vehicle;pedestrian;vehicle;vehicle
406,0.743,Good,3,0,0,3,39.98,,vehicle;vehicle;vehicle
409,0.723,Good,4,0,1,3,39.98,,vehicle;vehicle;vehicle;vehicle
412,0.723,Good,3,0,2,1,22.43,,vehicle;vehicle;vehicle
415,0.725,Good,3,0,2,1,26.27,,vehicle;vehicle;vehicle
418,0.728,Good,2,0,2,0,15.85,1.07,vehicle;vehicle
421,0.731,Good,1,0,0,1,30.65,,pedestrian
424,0.757,Good,2,0,0,2,54.09,,vehicle;vehicle
